1,110 in the Shade,1963,Broadway,N. Richard Nash,"Based on Nash's 1954 play, The Rainmaker.",https://en.wikipedia.org/wiki/110_in_the_Shade
2,13,2008,Broadway,Dan Elish and Horn,,https://en.wikipedia.org/wiki/13_(musical)
3,1492 Up To Date,1893,Broadway,Barnet,A burlesque show.,https://en.wikipedia.org/wiki/1492_Up_To_Date
4,1600 Pennsylvania Avenue,1976,Broadway,Lerner,Ran for only 7 performances.,https://en.wikipedia.org/wiki/1600_Pennsylvania_Avenue_(musical)
5,1776,1969,Broadway,Peter Stone,,https://en.wikipedia.org/wiki/1776_(musical)
6,1789: Les Amants de la Bastille,2012,French musical,Attia and François Chouquet,Based on the French Revolution,https://en.wikipedia.org/wiki/1789:_Les_Amants_de_la_Bastille
7,The 25th Annual Putnam County Spelling Bee,2005,Broadway,Rachel Sheinkin,,https://en.wikipedia.org/wiki/The_25th_Annual_Putnam_County_Spelling_Bee
8,35MM: A Musical Exhibition,2012,Off-Broadway,N/A,,
9,3 Musketiers,2003,Dutch musical,André Breedland,,https://en.wikipedia.org/wiki/3_Musketiers
10,3hree,2001,Off-Off-Broadway,"O'Keefe, Benjamin, Nassif and Bucchino","Three One-act musical combined, The Mice, The Flight of the Lawnchair Man and Lavender Girl.",
11,42nd Street,1980,Broadway,Michael Stewart and Mark Bramble,Based on Bradford Ropes' novel.,https://en.wikipedia.org/wiki/42nd_Street_(musical)
12,"70, Girls, 70",1971,Broadway,Ebb and Norman L. Martin,Based on the 1958 play Breath of Spring by Peter Coke.,
13,8 femmes,2002,Musical film,François Ozon and Marina de Van,Bases on the play by Robert Thomas.,https://en.wikipedia.org/wiki/8_Women
14,9 to 5,2009,Broadway,Patricia Resnick,Based on the 1980 film.,https://en.wikipedia.org/wiki/9_to_5_(musical)
15,"A... My Name Is Alice and
A... My Name Will Always Be Alice",1984,Off-Broadway revue,Joan Micklin Silver and Julianne Boyd,,https://en.wikipedia.org/wiki/A..._My_Name_Is_Alice
16,A Christmas Story: The Musical,2012,Broadway,Joseph Robinette,,https://en.wikipedia.org/wiki/A_Christmas_Story:_The_Musical
17,A Dangerous Maid,1923,Broadway,Charles W. Bell,"Based on Bell's 1918 play, A Dislocated Honeymoon.",https://en.wikipedia.org/wiki/A_Dangerous_Maid
18,A Family Affair,1962,Broadway,Goldman and Goldman,,https://en.wikipedia.org/wiki/A_Family_Affair_(musical)
19,A Hatful of Snow,1994,Holiday Musical,Breindel,,
20,A Little Princess,2003,Off-Broadway,Brian Crawley,,https://en.wikipedia.org/wiki/A_Little_Princess_(Lippa_musical)
21,A Minister's Wife,2011,Off-Broadway,Austin Pendleton,Based on George Bernard Shaw's Candida.,
22,A New Brain,1998,Off-Broadway,Finn and James Lapine,,https://en.wikipedia.org/wiki/A_New_Brain
23,A Tale of Two Cities,2008,Broadway,Santoriello,,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities_(musical)
24,A Very Potter Musical,2009,Off-Off-Broadway,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.,https://en.wikipedia.org/wiki/A_Very_Potter_Musical
25,A Very Potter Sequel,2010,Off-Off-Broadway,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.,https://en.wikipedia.org/wiki/A_Very_Potter_Sequel
26,A Very Potter Senior Year,2012,Off-Off-Broadway,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.,https://en.wikipedia.org/wiki/A_Very_Potter_Senior_Year
27,Aaron Slick from Punkin Crick,1952,Musical film,Claude Binyon,,https://en.wikipedia.org/wiki/Aaron_Slick_from_Punkin_Crick
28,Abbacadabra,1983,French musical,N/A,,https://en.wikipedia.org/wiki/Abbacadabra
29,About Face,1952,Musical film,Peter Milne,,https://en.wikipedia.org/wiki/About_Face_(1952_film)
30,About Town,1906,Broadway,Herbert,,
31,Absolute Beginners,1986,Musical film,Richard Burridge,,https://en.wikipedia.org/wiki/Absolute_Beginners_(film)
32,Abyssinia,1987,Broadway,Racheff and Kociolek,"Based on the novel Marked by Fire, by Joyce Carol Thomas.",https://en.wikipedia.org/wiki/Abyssinia_(musical)
33,Ace,2006,Off-Off-Broadway,Taylor and Oberacker,,https://en.wikipedia.org/wiki/Ace_(musical)
34,Ace of Clubs,1950,West End,Coward,,https://en.wikipedia.org/wiki/Ace_of_Clubs_(musical)
35,Acorn Antiques: The Musical!,2005,West End,Wood,,https://en.wikipedia.org/wiki/Acorn_Antiques:_The_Musical!
36,Across the Universe,2007,Musical film,Julie Taymor,,https://en.wikipedia.org/wiki/Across_the_Universe_(film)
37,The Act,1977,Broadway,George Furth,,https://en.wikipedia.org/wiki/The_Act_(musical)
38,The Addams Family,"2010
","Broadway
Touring UK
",Marshall Brickman and Rick Elice,,https://en.wikipedia.org/wiki/The_Addams_Family_(musical)
39,Adding Machine,2008,Off-Broadway,Loewith and Schmidt,,https://en.wikipedia.org/wiki/Adding_Machine_(musical)
40,Adèle,1913,Broadway,Hervé,English adaptation by Philipp and Edward A. Paulton.,https://en.wikipedia.org/wiki/Adele_(musical)
41,Adonis,1884,Broadway,William Gill,,https://en.wikipedia.org/wiki/Adonis_(musical)
42,"The Adventures of Priscilla, Queen of the Desert",1994,Musical film,Stephan Elliott,,https://en.wikipedia.org/wiki/Priscilla_Queen_of_the_Desert_(musical)
43,The Adventures of Tom Sawyer,2001,Broadway,Ken Ludwig,,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(musical)
44,Affair in Trinidad,1952,Musical film,Berne Giler and James Gunn,,https://en.wikipedia.org/wiki/Affair_in_Trinidad
45,The Affairs of Dobie Gillis,1953,Musical film,Max Shulman,,https://en.wikipedia.org/wiki/The_Affairs_of_Dobie_Gillis
46,Afgar,1919,West End,Fred Thompson and Worton David,,https://en.wikipedia.org/wiki/Afgar
47,Africana,1934,Broadway,Heyward,,
48,After the Ball,1953,West End,Coward,"Based on Oscar Wilde's play, Lady Windermere's Fan.",https://en.wikipedia.org/wiki/After_the_Ball_(musical)
49,Aida,2000,Broadway,"Linda Woolverton, Robert Falls and David Henry Hwang",,https://en.wikipedia.org/wiki/Aida_(musical)
50,Ain't Misbehavin',1978,Broadway revue,"Murray Horwitz and Richard Maltby, Jr.",,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical)
51,Ain't Supposed to Die a Natural Death,1971,Broadway,Van Peebles,,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
52,Aladdin,1958,Television musical,S. J. Perelman,,https://en.wikipedia.org/wiki/Aladdin_(TV_special)
53,"Aladdin

+ film (1992)

",2014,Broadway,Beguelin,"Based on the film of the same name. Notable Songs: ""A Whole New World"" and ""Friend Like Me"".",https://en.wikipedia.org/wiki/Aladdin_(2011_musical)
54,Ali Baba fr:Les 1001 Vies d'Ali Baba,2000,French musical,,,
55,Alice in Wonderland,1951,Animated film,Winston Hibler and Ted Sears,,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film)
56,Alice in Wonderland: An X-Rated Musical Comedy,1976,"Adult film
(Off-Broadway; 2007)",Bill Osco,Based on Lewis Carroll's book Alice's Adventures in Wonderland.,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1976_film)
57,Alice's Adventures in Wonderland,1972,Musical film,William Sterling,,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland_(1972_film)
58,Alice with Kisses,1964,Off-Broadway,,,
59,Alive and Kicking,1950,Broadway revue,I. A. L. Diamond,,https://en.wikipedia.org/wiki/Alive_and_Kicking_(musical)
60,All 4 One,2001,Off-West End,Heuston,,
61,All Aboard,1913,Broadway,Mark Swan,,
62,All American,1962,Broadway,Mel Brooks,,https://en.wikipedia.org/wiki/All_American_(musical)
63,All Hands on Deck,1961,Musical film,Jay Sommers,,https://en.wikipedia.org/wiki/All_Hands_on_Deck_(film)
64,All in Fun,1940,Broadway revue,,,
65,All in Love,1961,Off-Broadway,Geller,,
66,All Shook Up,2005,Broadway Jukebox musical,Joe DiPietro,,https://en.wikipedia.org/wiki/All_Shook_Up_(musical)
67,All That Jazz,1979,Musical film,Robert Alan Aurthur and Bob Fosse,,https://en.wikipedia.org/wiki/All_That_Jazz_(film)
68,All the Fun of the Fair,2008,West End,Jon Conway,David Essex Jukebox musical,https://en.wikipedia.org/wiki/All_the_Fun_of_the_Fair
69,All the King's Horses,1935,Musical film,"Edmund H. North, Frank Tuttle and Frederick Stephani","All the King's Horses by Lawrence Clark, Max Giersberg, Frederik Herendeen and Edward Horan",https://en.wikipedia.org/wiki/All_the_King%27s_Horses_(1935_film)
70,Allegiance,2012,Broadway,"Marc Acito, Jay Kuo, Lorenzo Thione","Regional Premiere 2012, Broadway 2015",
71,Allegro,1947,Broadway,Hammerstein II,,https://en.wikipedia.org/wiki/Allegro_(musical)
72,An Alligator Named Daisy,1955,Musical film,Jack Davies,,https://en.wikipedia.org/wiki/An_Alligator_Named_Daisy
