1,110 in the Shade,1963,Broadway,Harvey Schmidt,Tom Jones,N. Richard Nash,"Based on Nash's 1954 play, The Rainmaker.",https://en.wikipedia.org/wiki/110_in_the_Shade
2,13,2008,Broadway,Jason Robert Brown,Brown,Dan Elish and Horn,,https://en.wikipedia.org/wiki/13_(musical)
3,1492 Up To Date,1893,Broadway,Carl Pflueger,R. A. Barnet,Barnet,A burlesque show.,https://en.wikipedia.org/wiki/1492_Up_To_Date
4,1600 Pennsylvania Avenue,1976,Broadway,Leonard Bernstein,Alan Jay Lerner,Lerner,Ran for only 7 performances.,https://en.wikipedia.org/wiki/1600_Pennsylvania_Avenue_(musical)
5,1776,1969,Broadway,Sherman Edwards,Edwards,Peter Stone,,https://en.wikipedia.org/wiki/1776_(musical)
6,1789: Les Amants de la Bastille,2012,French musical,"Rod Janois, Jean-Pierre Pilot, Olivier Schultheis, William Rousseau and Dove Attia",Attia and Vincent Baguian,Attia and François Chouquet,Based on the French Revolution,https://en.wikipedia.org/wiki/1789:_Les_Amants_de_la_Bastille
7,The 25th Annual Putnam County Spelling Bee,2005,Broadway,William Finn,Finn,Rachel Sheinkin,,https://en.wikipedia.org/wiki/The_25th_Annual_Putnam_County_Spelling_Bee
8,35MM: A Musical Exhibition,2012,Off-Broadway,Ryan Scott Oliver,Oliver,N/A,,
9,3 Musketiers,2003,Dutch musical,"Ferdi Bolland, Rob Bolland, and Paul Bogaev",Bolland and Bolland,André Breedland,,https://en.wikipedia.org/wiki/3_Musketiers
10,3hree,2001,Off-Off-Broadway,"Laurence O'Keefe, Neil Dunbar Benjamin, Robert Lindsey Nassif and John Bucchino","O'Keefe, Benjamin, Nassif and Bucchino","O'Keefe, Benjamin, Nassif and Bucchino","Three One-act musical combined, The Mice, The Flight of the Lawnchair Man and Lavender Girl.",
11,42nd Street,1980,Broadway,Harry Warren,Al Dubin,Michael Stewart and Mark Bramble,Based on Bradford Ropes' novel.,https://en.wikipedia.org/wiki/42nd_Street_(musical)
12,"70, Girls, 70",1971,Broadway,John Kander,Fred Ebb,Ebb and Norman L. Martin,Based on the 1958 play Breath of Spring by Peter Coke.,
13,8 femmes,2002,Musical film,Various artists,Various artists,François Ozon and Marina de Van,Bases on the play by Robert Thomas.,https://en.wikipedia.org/wiki/8_Women
